Temperature (K),Chi (Molar)* T
272.1264,0.98312
273.19563,0.9831
274.14571,0.98491
275.17693,0.98472
276.18631,0.9866
277.11894,0.98804
278.19104,0.9882
279.33496,0.99011
280.14102,0.99115
281.20438,0.9915
282.12706,0.99296
283.18025,0.9931
284.19701,0.99455
285.13847,0.9961
286.19939,0.9967
287.1915,0.99824
288.12404,0.99974
289.19154,1.00039
290.21019,1.00175
291.09302,1.00323
292.1862,1.00271
293.23752,1.00443
294.14986,1.00601
295.20679,1.00679
296.23413,1.00766
297.11919,1.00769
298.19116,1.00665
299.19002,1.00753
299.8761,1.00814
